robot_id,1,,,,,,,,,,,,,,,,,,,,,
file_version,3.0.0,,,,,,,,,,,,,,,,,,,,,
MS ID,MS Name,MD ID,P vector,,,,,,,,,,,,,,,,,,,
,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,TEACH2,MD0,"-0.1,856,0,0","0.3,125,0,11","0.3,819,0,0","705.1,2163,12,15","704.4,65,19,6","704.4,290,0,0","704.5,278,6,26","704.5,68,0,0","578.1,570,0,11","711.0,480,5,6","605.8,399,5,5","876.2,852,10,12","876.2,2395,0,0",-,-,-,-,-,-,-
,,MD1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
