robot_id,1,,,,,,,,,,,,,,,,,,,,,
file_version,3.0.0,,,,,,,,,,,,,,,,,,,,,
MS ID,MS Name,MD ID,P vector,,,,,,,,,,,,,,,,,,,
,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
16,LEFT_1800_TO_2160,MD0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD2,"1800.0,3800,0,0","2070.0,2400,0,0","2160.0,800,0,0","2160.0,500,0,0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD6,"1800.0,3000,0,0","1890.0,800,0,0","2160.0,2400,0,0","2160.0,800,0,0","2160.0,500,0,0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD7,"1800.0,3000,0,0","1890.0,800,0,0","2160.0,2400,0,0","2160.0,800,0,0","2160.0,500,0,0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD8,"1800.0,3800,0,0","2070.0,2400,0,0","2160.0,800,0,0","2160.0,500,0,0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
